n,Share,decile,origin,child,sd,gender,mixity,order_gender,order_origin
274,0.129734848484848,9,North Africa,54.8284671532847,28.9648604812231,Female,One native parent,1,2
287,0.304994686503719,1,Other,46.7073170731707,29.3648030737472,Male,No native parent,0,4
306,0.144886363636364,10,North Africa,61.6830065359477,30.1161822213049,Female,One native parent,1,2
326,0.156429942418426,10,North Africa,70.1564417177914,30.5200575396369,Male,One native parent,0,2
453,0.192520186995325,2,North Africa,37.6799116997793,29.5732399365739,Female,No native parent,1,2
458,0.185725871857259,2,North Africa,43.7794759825328,30.0125694701708,Male,No native parent,0,2
1175,0.499362515937102,1,North Africa,33.7940425531915,27.8413024949423,Female,No native parent,1,2
1251,0.507299270072993,1,North Africa,41.4460431654676,29.8144006535589,Male,No native parent,0,2
2357,0.0683882199332656,1,France,43.9732711073398,26.6172591996323,Male,No native parent,0,1
2455,0.0725001476581419,1,France,31.122199592668,23.7639963487243,Female,No native parent,1,1
3102,0.0900043522414043,2,France,48.9987105093488,25.8743521828904,Male,No native parent,0,1
3128,0.0923749335538362,2,France,34.306905370844,23.8764366010975,Female,No native parent,1,1
3358,0.0974321775714493,3,France,51.9207861822514,26.3503295176918,Male,No native parent,0,1
3359,0.0991967397082275,3,France,36.9392676391783,24.423865310875,Female,No native parent,1,1
3381,0.0998464355324553,4,France,39.9787045252884,25.0758757846777,Female,No native parent,1,1
3475,0.10262240859961,10,France,60.1772661870504,29.2685184578901,Female,No native parent,1,1
3580,0.103873494849848,4,France,52.3195530726257,26.3905926117163,Male,No native parent,0,1
3587,0.104076599448716,5,France,56.1299135768051,26.6356584115451,Male,No native parent,0,1
3590,0.106018545862619,8,France,50.7871866295265,26.6707707295487,Female,No native parent,1,1
3598,0.106254798889611,5,France,41.9408004446915,25.1216024525599,Female,No native parent,1,1
3620,0.106904494713839,7,France,47.7447513812155,25.8974967892502,Female,No native parent,1,1
3624,0.107022621227334,9,France,54.6172737306843,27.4301167547508,Female,No native parent,1,1
3628,0.105266212099231,6,France,56.6686879823594,27.0279688637045,Male,No native parent,0,1
3632,0.107258874254326,6,France,44.0462555066079,25.3551052651341,Female,No native parent,1,1
3677,0.10668794429131,9,France,64.963013326081,28.8238004374394,Male,No native parent,0,1
3686,0.106949078775569,10,France,69.1066196418882,30.3875246597561,Male,No native parent,0,1
3718,0.107877556941825,7,France,59.5728886498117,27.5537664878392,Male,No native parent,0,1
3772,0.109444363847381,8,France,61.6206256627784,28.03686493941,Male,No native parent,0,1
